Name,State,Notes,Tags,Created,Runtime,Sweep,alpha,filter,kernel_size,model_path,number_of_iter,parametric_mode,rho,seed,size,thr,var_estimation,cov,signal,noise_distribution,ws_distance,bonf-p-value-mean,bonf-p-value-se,bonf-rejection,ks-bonf-p,ks-naive-p,ks-oc-p,ks-p,naive-p-value-mean,naive-p-value-se,naive-rejection,number-of-error,oc-p-value-mean,oc-p-value-se,oc-rejection,p-value-mean,p-value-se,rejection,search-count,time
sage-voice-185,finished,-,submission_fpr_cov,2024-02-02T01:12:32.000Z,2984,,0.05,MEAN,3,trained_models/test_vae_model_64.h5,1000,decision,0.25,1234,64,1.2,FALSE,ar1,,,,0,0,0,0,6.092994766849415e-91,0.932744375,0,0.281,0.020680103158994795,0.281,0,0.042,0.006289321,0.042,0.054000000000000006,0.008192137,0.054,1465.634,64.92839033985138
usual-dream-184,finished,-,submission_fpr_cov,2024-02-02T00:52:14.000Z,1211,,0.05,MEAN,3,trained_models/test_vae_model_32.h5,1000,decision,0.25,1234,32,1.2,FALSE,ar1,,,,0,0,0,0,0,0.2386567209327779,1.5456664594360184e-156,1,0,1,0,0.040999999999999995,0.004582576,0.041,0.043,0.010959521481849062,0.043,1352.29,45.94876540517807
dauntless-fire-183,finished,-,submission_fpr_cov,2024-02-02T00:44:47.000Z,441,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,FALSE,ar1,,,,0,0,0,0,0,0.1892967623697247,1.21365073284298e-257,0.835,0.016482314,0.835,0,0.06,0.005773503,0.06,0.042,0.007571878,0.042,566.462,16.044751977682115
northern-silence-182,finished,-,submission_fpr_cov,2024-02-02T00:40:14.000Z,267,,0.05,MEAN,3,trained_models/test_vae_model_8.h5,1000,decision,0.25,1234,8,1.2,FALSE,ar1,,,,0,0,0,0,1.2062454361673276e-172,0.2154531654787757,2.7410964928231167e-173,0.367,0.011930353445448854,0.367,0,0.051,0.005666667,0.051,0.043,0.005385165,0.043,144.215,4.564888405323028
earnest-valley-180,finished,-,submission_fpr_robust_after,2024-01-31T06:19:04.000Z,2415,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.04,0,0,0,0,0,0.4473694205096838,5.629556659236799e-212,1,0,1,0,0.063,0.004955356,0.063,0.047,0.007310571,0.047,1418.275,31.918429648637773
warm-wind-179,finished,-,submission_fpr_robust_after,2024-01-31T06:13:58.000Z,1321,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.03,0,0,0,0,0,0.4221601445777813,2.267111900325417e-193,1,0,1,0,0.042,0.009637888,0.042,0.056,0.004760952,0.056,1444.787,40.08503098654747
silver-bee-178,finished,-,submission_fpr_robust_after,2024-01-31T06:03:16.000Z,2461,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.02,0,0,0,0,0,0.7866491120189373,1.1200886996001286e-177,1,0,1,0,0.052000000000000005,0.007118052,0.052,0.045,0.005821416,0.045,1468.837,36.135392508506776
eternal-darkness-177,finished,-,submission_fpr_robust_after,2024-01-31T06:01:52.000Z,2309,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.01,0,0,0,0,0,0.9453776148330396,4.33018393818222e-199,1,0,1,0,0.051,0.005859465,0.051,0.037,0.005783117,0.037,1508.965,38.342381606578826
copper-star-176,finished,-,submission_fpr_robust_after,2024-01-31T06:00:46.000Z,2814,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.04,0,0,0,0,0,0.5805183078860561,7.864756002909815e-233,1,0,1,0,0.06,0.005163978,0.06,0.059,0.009712535,0.059,1662.963,41.91075336241722
easy-feather-175,finished,-,submission_fpr_robust_after,2024-01-31T05:47:58.000Z,1514,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.03,0,0,0,0,0,0.6711464097702066,2.3450032158632984e-187,1,0,1,0,0.058,0.008406347,0.058,0.066,0.010241527663824811,0.066,1627.574,45.619297996759414
